Organ_system	Subcategory	ICD10Code	ICD10Description
cancer		C10.3	Malignant neoplasm of posterior wall of oropharynx
cancer		C10.4	Malignant neoplasm of branchial cleft
cancer		C10.8	Malignant neoplasm of overlapping sites of oropharynx
cancer		C10.9	Malignant neoplasm of oropharynx, unspecified
cancer		C11.0	Malignant neoplasm of superior wall of nasopharynx
cancer		C11.1	Malignant neoplasm of posterior wall of nasopharynx
cancer		C11.2	Malignant neoplasm of lateral wall of nasopharynx
cancer		C11.3	Malignant neoplasm of anterior wall of nasopharynx
cancer		C11.8	Malignant neoplasm of overlapping sites of nasopharynx
cancer		C11.9	Malignant neoplasm of nasopharynx, unspecified
cancer		C12.	Malignant neoplasm of pyriform sinus
cancer		C13.0	Malignant neoplasm of postcricoid region
cancer		C13.1	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
cancer		C13.2	Malignant neoplasm of posterior wall of hypopharynx
cancer		C13.8	Malignant neoplasm of overlapping sites of hypopharynx
cancer		C13.9	Malignant neoplasm of hypopharynx, unspecified
cancer		C14.0	Malignant neoplasm of pharynx, unspecified
cancer		C14.2	Malignant neoplasm of Waldeyer's ring
cancer		C14.8	Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx
cancer		C15.3	Malignant neoplasm of upper third of esophagus
cancer		C15.4	Malignant neoplasm of middle third of esophagus
cancer		C15.5	Malignant neoplasm of lower third of esophagus
cancer		C15.8	Malignant neoplasm of overlapping sites of esophagus
cancer		C15.9	Malignant neoplasm of esophagus, unspecified
cancer		C16.0	Malignant neoplasm of cardia
cancer		C16.1	Malignant neoplasm of fundus of stomach
cancer		C16.2	Malignant neoplasm of body of stomach
cancer		C16.3	Malignant neoplasm of pyloric antrum
cancer		C16.4	Malignant neoplasm of pylorus
cancer		C16.5	Malignant neoplasm of lesser curvature of stomach, unspecified
cancer		C16.6	Malignant neoplasm of greater curvature of stomach, unspecified
cancer		C16.8	Malignant neoplasm of overlapping sites of stomach
cancer		C16.9	Malignant neoplasm of stomach, unspecified
cancer		C17.0	Malignant neoplasm of duodenum
cancer		C17.1	Malignant neoplasm of jejunum
cancer		C17.2	Malignant neoplasm of ileum
cancer		C17.3	Meckel's diverticulum, malignant
cancer		C17.8	Malignant neoplasm of overlapping sites of small intestine
cancer		C17.9	Malignant neoplasm of small intestine, unspecified
cancer		C18.0	Malignant neoplasm of cecum
cancer		C18.1	Malignant neoplasm of appendix
cancer		C18.2	Malignant neoplasm of ascending colon
cancer		C18.3	Malignant neoplasm of hepatic flexure
cancer		C18.4	Malignant neoplasm of transverse colon
cancer		C18.5	Malignant neoplasm of splenic flexure
cancer		C18.6	Malignant neoplasm of descending colon
cancer		C18.7	Malignant neoplasm of sigmoid colon
cancer		C18.8	Malignant neoplasm of overlapping sites of colon
cancer		C18.9	Malignant neoplasm of colon, unspecified
cancer		C19.	Malignant neoplasm of rectosigmoid junction
cancer		C20.	Malignant neoplasm of rectum
cancer		C21.0	Malignant neoplasm of anus, unspecified
cancer		C21.1	Malignant neoplasm of anal canal
cancer		C21.2	Malignant neoplasm of cloacogenic zone
cancer		C21.8	Malignant neoplasm of overlapping sites of rectum, anus and anal canal
cancer		C22.0	Liver cell carcinoma
cancer		C22.1	Intrahepatic bile duct carcinoma
cancer		C22.2	Hepatoblastoma
cancer		C22.3	Angiosarcoma of liver
cancer		C22.4	Other sarcomas of liver
cancer		C22.7	Other specified carcinomas of liver
cancer		C22.8	Malignant neoplasm of liver, primary, unspecified as to type
cancer		C22.9	Malignant neoplasm of liver, not specified as primary or secondary
cancer		C23.	Malignant neoplasm of gallbladder
cancer		C24.0	Malignant neoplasm of extrahepatic bile duct
cancer		C24.1	Malignant neoplasm of ampulla of Vater
cancer		C24.8	Malignant neoplasm of overlapping sites of biliary tract
cancer		C24.9	Malignant neoplasm of biliary tract, unspecified
cancer		C25.0	Malignant neoplasm of head of pancreas
cancer		C25.1	Malignant neoplasm of body of pancreas
cancer		C25.2	Malignant neoplasm of tail of pancreas
cancer		C25.3	Malignant neoplasm of pancreatic duct
cancer		C25.4	Malignant neoplasm of endocrine pancreas
cancer		C25.7	Malignant neoplasm of other parts of pancreas
cancer		C25.8	Malignant neoplasm of overlapping sites of pancreas
cancer		C25.9	Malignant neoplasm of pancreas, unspecified
cancer		C26.0	Malignant neoplasm of intestinal tract, part unspecified
cancer		C26.1	Malignant neoplasm of spleen
cancer		C26.9	Malignant neoplasm of ill-defined sites within the digestive system
cancer		C30.0	Malignant neoplasm of nasal cavity
cancer		C30.1	Malignant neoplasm of middle ear
cancer		C31.0	Malignant neoplasm of maxillary sinus
cancer		C31.1	Malignant neoplasm of ethmoidal sinus
cancer		C31.2	Malignant neoplasm of frontal sinus
cancer		C31.3	Malignant neoplasm of sphenoid sinus
cancer		C31.8	Malignant neoplasm of overlapping sites of accessory sinuses
cancer		C31.9	Malignant neoplasm of accessory sinus, unspecified
cancer		C32.0	Malignant neoplasm of glottis
cancer		C32.1	Malignant neoplasm of supraglottis
cancer		C32.2	Malignant neoplasm of subglottis
cancer		C32.3	Malignant neoplasm of laryngeal cartilage
cancer		C32.8	Malignant neoplasm of overlapping sites of larynx
cancer		C32.9	Malignant neoplasm of larynx, unspecified
cancer		C33.	Malignant neoplasm of trachea
cancer		C34.00	Malignant neoplasm of unspecified main bronchus
cancer		C34.01	Malignant neoplasm of right main bronchus
cancer		C34.02	Malignant neoplasm of left main bronchus
cancer		C34.10	Malignant neoplasm of upper lobe, unspecified bronchus or lung
cancer		C34.11	Malignant neoplasm of upper lobe, right bronchus or lung
cancer		C34.12	Malignant neoplasm of upper lobe, left bronchus or lung
cancer		C34.2	Malignant neoplasm of middle lobe, bronchus or lung
cancer		C34.30	Malignant neoplasm of lower lobe, unspecified bronchus or lung
cancer		C34.31	Malignant neoplasm of lower lobe, right bronchus or lung
cancer		C34.32	Malignant neoplasm of lower lobe, left bronchus or lung
cancer		C34.80	Malignant neoplasm of overlapping sites of unspecified bronchus and lung
cancer		C34.81	Malignant neoplasm of overlapping sites of right bronchus and lung
cancer		C34.82	Malignant neoplasm of overlapping sites of left bronchus and lung
cancer		C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung
cancer		C34.91	Malignant neoplasm of unspecified part of right bronchus or lung
cancer		C34.92	Malignant neoplasm of unspecified part of left bronchus or lung
cancer		C37.	Malignant neoplasm of thymus
cancer		C38.0	Malignant neoplasm of heart
cancer		C38.1	Malignant neoplasm of anterior mediastinum
cancer		C38.2	Malignant neoplasm of posterior mediastinum
cancer		C38.3	Malignant neoplasm of mediastinum, part unspecified
cancer		C38.4	Malignant neoplasm of pleura
cancer		C38.8	Malignant neoplasm of overlapping sites of heart, mediastinum and pleura
cancer		C39.0	Malignant neoplasm of upper respiratory tract, part unspecified
cancer		C39.9	Malignant neoplasm of lower respiratory tract, part unspecified
cancer		C40.00	Malignant neoplasm of scapula and long bones of unspecified upper limb
cancer		C40.01	Malignant neoplasm of scapula and long bones of right upper limb
cancer		C40.02	Malignant neoplasm of scapula and long bones of left upper limb
cancer		C40.10	Malignant neoplasm of short bones of unspecified upper limb
cancer		C40.11	Malignant neoplasm of short bones of right upper limb
cancer		C40.12	Malignant neoplasm of short bones of left upper limb
cancer		C40.20	Malignant neoplasm of long bones of unspecified lower limb
cancer		C40.21	Malignant neoplasm of long bones of right lower limb
cancer		C40.22	Malignant neoplasm of long bones of left lower limb
cancer		C40.30	Malignant neoplasm of short bones of unspecified lower limb
cancer		C40.31	Malignant neoplasm of short bones of right lower limb
cancer		C40.32	Malignant neoplasm of short bones of left lower limb
cancer		C40.80	Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
cancer		C40.81	Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
cancer		C40.82	Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
cancer		C40.90	Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
cancer		C40.91	Malignant neoplasm of unspecified bones and articular cartilage of right limb
cancer		C40.92	Malignant neoplasm of unspecified bones and articular cartilage of left limb
cancer		C41.0	Malignant neoplasm of bones of skull and face
cancer		C41.1	Malignant neoplasm of mandible
cancer		C41.2	Malignant neoplasm of vertebral column
cancer		C41.3	Malignant neoplasm of ribs, sternum and clavicle
cancer		C41.4	Malignant neoplasm of pelvic bones, sacrum and coccyx
cancer		C41.9	Malignant neoplasm of bone and articular cartilage, unspecified
cancer		C43.0	Malignant melanoma of lip
cancer		C43.10	Malignant melanoma of unspecified eyelid, including canthus
cancer		C43.11	Malignant melanoma of right eyelid, including canthus
cancer		C43.111	Malignant melanoma of right upper eyelid, including canthus
cancer		C43.112	Malignant melanoma of right lower eyelid, including canthus
cancer		C43.12	Malignant melanoma of left eyelid, including canthus
cancer		C43.121	Malignant melanoma of left upper eyelid, including canthus
cancer		C43.122	Malignant melanoma of left lower eyelid, including canthus
cancer		C43.20	Malignant melanoma of unspecified ear and external auricular canal
cancer		C43.21	Malignant melanoma of right ear and external auricular canal
cancer		C43.22	Malignant melanoma of left ear and external auricular canal
cancer		C43.30	Malignant melanoma of unspecified part of face
cancer		C43.31	Malignant melanoma of nose
cancer		C43.39	Malignant melanoma of other parts of face
cancer		C43.4	Malignant melanoma of scalp and neck
cancer		C43.51	Malignant melanoma of anal skin
cancer		C43.52	Malignant melanoma of skin of breast
cancer		C43.59	Malignant melanoma of other part of trunk
cancer		C43.60	Malignant melanoma of unspecified upper limb, including shoulder
cancer		C43.61	Malignant melanoma of right upper limb, including shoulder
cancer		C43.62	Malignant melanoma of left upper limb, including shoulder
cancer		C43.70	Malignant melanoma of unspecified lower limb, including hip
cancer		C43.71	Malignant melanoma of right lower limb, including hip
cancer		C43.72	Malignant melanoma of left lower limb, including hip
cancer		C43.8	Malignant melanoma of overlapping sites of skin
cancer		C43.9	Malignant melanoma of skin, unspecified
cancer		C44.00	Unspecified malignant neoplasm of skin of lip
cancer		C44.01	Basal cell carcinoma of skin of lip
cancer		C44.02	Squamous cell carcinoma of skin of lip
cancer		C44.09	Other specified malignant neoplasm of skin of lip
cancer		C44.101	Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus
cancer		C44.102	Unspecified malignant neoplasm of skin of right eyelid, including canthus
cancer		C44.1021	Unspecified malignant neoplasm of skin of right upper eyelid, including canthus
cancer		C44.1022	Unspecified malignant neoplasm of skin of right lower eyelid, including canthus
cancer		C44.109	Unspecified malignant neoplasm of skin of left eyelid, including canthus
cancer		C44.1091	Unspecified malignant neoplasm of skin of left upper eyelid, including canthus
cancer		C44.1092	Unspecified malignant neoplasm of skin of left lower eyelid, including canthus
cancer		C44.111	Basal cell carcinoma of skin of unspecified eyelid, including canthus
cancer		C44.112	Basal cell carcinoma of skin of right eyelid, including canthus
cancer		C44.1121	Basal cell carcinoma of skin of right upper eyelid, including canthus
cancer		C44.1122	Basal cell carcinoma of skin of right lower eyelid, including canthus
cancer		C44.119	Basal cell carcinoma of skin of left eyelid, including canthus
cancer		C44.1191	Basal cell carcinoma of skin of left upper eyelid, including canthus
cancer		C44.1192	Basal cell carcinoma of skin of left lower eyelid, including canthus
cancer		C44.121	Squamous cell carcinoma of skin of unspecified eyelid, including canthus
cancer		C44.122	Squamous cell carcinoma of skin of right eyelid, including canthus
cancer		C44.1221	Squamous cell carcinoma of skin of right upper eyelid, including canthus
cancer		C44.1222	Squamous cell carcinoma of skin of right lower eyelid, including canthus
cancer		C44.129	Squamous cell carcinoma of skin of left eyelid, including canthus
cancer		C44.1291	Squamous cell carcinoma of skin of left upper eyelid, including canthus
cancer		C44.1292	Squamous cell carcinoma of skin of left lower eyelid, including canthus
cancer		C44.131	Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus
cancer		C44.1321	Sebaceous cell carcinoma of skin of right upper eyelid, including canthus
cancer		C44.1322	Sebaceous cell carcinoma of skin of right lower eyelid, including canthus
cancer		C44.1391	Sebaceous cell carcinoma of skin of left upper eyelid, including canthus
cancer		C44.1392	Sebaceous cell carcinoma of skin of left lower eyelid, including canthus
cancer		C44.191	Other specified malignant neoplasm of skin of unspecified eyelid, including canthus
cancer		C44.192	Other specified malignant neoplasm of skin of right eyelid, including canthus
cancer		C44.1921	Other specified malignant neoplasm of skin of right upper eyelid, including canthus
cancer		C44.1922	Other specified malignant neoplasm of skin of right lower eyelid, including canthus
cancer		C44.199	Other specified malignant neoplasm of skin of left eyelid, including canthus
cancer		C44.1991	Other specified malignant neoplasm of skin of left upper eyelid, including canthus
cancer		C44.1992	Other specified malignant neoplasm of skin of left lower eyelid, including canthus
cancer		C44.201	Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
cancer		C44.202	Unspecified malignant neoplasm of skin of right ear and external auricular canal
cancer		C44.209	Unspecified malignant neoplasm of skin of left ear and external auricular canal
cancer		C44.211	Basal cell carcinoma of skin of unspecified ear and external auricular canal
cancer		C44.212	Basal cell carcinoma of skin of right ear and external auricular canal
cancer		C44.219	Basal cell carcinoma of skin of left ear and external auricular canal
cancer		C44.221	Squamous cell carcinoma of skin of unspecified ear and external auricular canal
cancer		C44.222	Squamous cell carcinoma of skin of right ear and external auricular canal
cancer		C44.229	Squamous cell carcinoma of skin of left ear and external auricular canal
cancer		C44.291	Other specified malignant neoplasm of skin of unspecified ear and external auricular canal
cancer		C44.292	Other specified malignant neoplasm of skin of right ear and external auricular canal
cancer		C44.299	Other specified malignant neoplasm of skin of left ear and external auricular canal
cancer		C44.300	Unspecified malignant neoplasm of skin of unspecified part of face
cancer		C44.301	Unspecified malignant neoplasm of skin of nose
cancer		C44.309	Unspecified malignant neoplasm of skin of other parts of face
cancer		C44.310	Basal cell carcinoma of skin of unspecified parts of face
cancer		C44.311	Basal cell carcinoma of skin of nose
cancer		C44.319	Basal cell carcinoma of skin of other parts of face
cancer		C44.320	Squamous cell carcinoma of skin of unspecified parts of face
cancer		C44.321	Squamous cell carcinoma of skin of nose
cancer		C44.329	Squamous cell carcinoma of skin of other parts of face
cancer		C44.390	Other specified malignant neoplasm of skin of unspecified parts of face
cancer		C44.391	Other specified malignant neoplasm of skin of nose
cancer		C44.399	Other specified malignant neoplasm of skin of other parts of face
cancer		C44.40	Unspecified malignant neoplasm of skin of scalp and neck
cancer		C44.41	Basal cell carcinoma of skin of scalp and neck
cancer		C44.42	Squamous cell carcinoma of skin of scalp and neck
cancer		C44.49	Other specified malignant neoplasm of skin of scalp and neck
cancer		C44.500	Unspecified malignant neoplasm of anal skin
cancer		C44.501	Unspecified malignant neoplasm of skin of breast
cancer		C44.509	Unspecified malignant neoplasm of skin of other part of trunk
cancer		C44.510	Basal cell carcinoma of anal skin
cancer		C44.511	Basal cell carcinoma of skin of breast
cancer		C44.519	Basal cell carcinoma of skin of other part of trunk
cancer		C44.520	Squamous cell carcinoma of anal skin
cancer		C44.521	Squamous cell carcinoma of skin of breast
cancer		C44.529	Squamous cell carcinoma of skin of other part of trunk
cancer		C44.590	Other specified malignant neoplasm of anal skin
cancer		C44.591	Other specified malignant neoplasm of skin of breast
cancer		C44.599	Other specified malignant neoplasm of skin of other part of trunk
cancer		C44.601	Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder
cancer		C44.602	Unspecified malignant neoplasm of skin of right upper limb, including shoulder
cancer		C44.609	Unspecified malignant neoplasm of skin of left upper limb, including shoulder
cancer		C44.611	Basal cell carcinoma of skin of unspecified upper limb, including shoulder
cancer		C44.612	Basal cell carcinoma of skin of right upper limb, including shoulder
cancer		C44.619	Basal cell carcinoma of skin of left upper limb, including shoulder
cancer		C44.621	Squamous cell carcinoma of skin of unspecified upper limb, including shoulder
cancer		C44.622	Squamous cell carcinoma of skin of right upper limb, including shoulder
cancer		C44.629	Squamous cell carcinoma of skin of left upper limb, including shoulder
cancer		C44.691	Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder
cancer		C44.692	Other specified malignant neoplasm of skin of right upper limb, including shoulder
cancer		C44.699	Other specified malignant neoplasm of skin of left upper limb, including shoulder
cancer		C44.701	Unspecified malignant neoplasm of skin of unspecified lower limb, including hip
cancer		C44.702	Unspecified malignant neoplasm of skin of right lower limb, including hip
cancer		C44.709	Unspecified malignant neoplasm of skin of left lower limb, including hip
cancer		C44.711	Basal cell carcinoma of skin of unspecified lower limb, including hip
cancer		C44.712	Basal cell carcinoma of skin of right lower limb, including hip
cancer		C44.719	Basal cell carcinoma of skin of left lower limb, including hip
cancer		C44.721	Squamous cell carcinoma of skin of unspecified lower limb, including hip
cancer		C44.722	Squamous cell carcinoma of skin of right lower limb, including hip
cancer		C44.729	Squamous cell carcinoma of skin of left lower limb, including hip
cancer		C44.791	Other specified malignant neoplasm of skin of unspecified lower limb, including hip
cancer		C44.792	Other specified malignant neoplasm of skin of right lower limb, including hip
cancer		C44.799	Other specified malignant neoplasm of skin of left lower limb, including hip
cancer		C44.80	Unspecified malignant neoplasm of overlapping sites of skin
cancer		C44.81	Basal cell carcinoma of overlapping sites of skin
cancer		C44.82	Squamous cell carcinoma of overlapping sites of skin
cancer		C44.89	Other specified malignant neoplasm of overlapping sites of skin
cancer		C44.90	Unspecified malignant neoplasm of skin, unspecified
cancer		C44.91	Basal cell carcinoma of skin, unspecified
cancer		C44.92	Squamous cell carcinoma of skin, unspecified
cancer		C44.99	Other specified malignant neoplasm of skin, unspecified
cancer		C45.0	Mesothelioma of pleura
cancer		C45.1	Mesothelioma of peritoneum
cancer		C45.2	Mesothelioma of pericardium
cancer		C45.7	Mesothelioma of other sites
cancer		C45.9	Mesothelioma, unspecified
cancer		C46.0	Kaposi's sarcoma of skin
cancer		C46.1	Kaposi's sarcoma of soft tissue
cancer		C46.2	Kaposi's sarcoma of palate
cancer		C46.3	Kaposi's sarcoma of lymph nodes
cancer		C46.4	Kaposi's sarcoma of gastrointestinal sites
cancer		C46.50	Kaposi's sarcoma of unspecified lung
cancer		C46.51	Kaposi's sarcoma of right lung
cancer		C46.52	Kaposi's sarcoma of left lung
cancer		C46.7	Kaposi's sarcoma of other sites
cancer		C46.9	Kaposi's sarcoma, unspecified
cancer		C47.0	Malignant neoplasm of peripheral nerves of head, face and neck
cancer		C47.10	Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
cancer		C47.11	Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
cancer		C47.12	Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
cancer		C47.20	Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
cancer		C47.21	Malignant neoplasm of peripheral nerves of right lower limb, including hip
cancer		C47.22	Malignant neoplasm of peripheral nerves of left lower limb, including hip
cancer		C47.3	Malignant neoplasm of peripheral nerves of thorax
cancer		C47.4	Malignant neoplasm of peripheral nerves of abdomen
cancer		C47.5	Malignant neoplasm of peripheral nerves of pelvis
cancer		C47.6	Malignant neoplasm of peripheral nerves of trunk, unspecified
cancer		C47.8	Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
cancer		C47.9	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
cancer		C48.0	Malignant neoplasm of retroperitoneum
cancer		C48.1	Malignant neoplasm of specified parts of peritoneum
cancer		C48.2	Malignant neoplasm of peritoneum, unspecified
cancer		C48.8	Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
cancer		C49.0	Malignant neoplasm of connective and soft tissue of head, face and neck
cancer		C49.10	Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
cancer		C49.11	Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
cancer		C49.12	Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
cancer		C49.20	Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
cancer		C49.21	Malignant neoplasm of connective and soft tissue of right lower limb, including hip
cancer		C49.22	Malignant neoplasm of connective and soft tissue of left lower limb, including hip
cancer		C49.3	Malignant neoplasm of connective and soft tissue of thorax
cancer		C49.4	Malignant neoplasm of connective and soft tissue of abdomen
cancer		C49.5	Malignant neoplasm of connective and soft tissue of pelvis
cancer		C49.6	Malignant neoplasm of connective and soft tissue of trunk, unspecified
cancer		C49.8	Malignant neoplasm of overlapping sites of connective and soft tissue
cancer		C49.9	Malignant neoplasm of connective and soft tissue, unspecified
cancer		C49.A0	Gastrointestinal stromal tumor, unspecified site
cancer		C49.A1	Gastrointestinal stromal tumor of esophagus
cancer		C49.A2	Gastrointestinal stromal tumor of stomach
cancer		C49.A3	Gastrointestinal stromal tumor of small intestine
cancer		C49.A4	Gastrointestinal stromal tumor of large intestine
cancer		C49.A5	Gastrointestinal stromal tumor of rectum
cancer		C49.A9	Gastrointestinal stromal tumor of other sites
cancer		C50.011	Malignant neoplasm of nipple and areola, right female breast
cancer		C50.012	Malignant neoplasm of nipple and areola, left female breast
cancer		C50.019	Malignant neoplasm of nipple and areola, unspecified female breast
cancer		C50.021	Malignant neoplasm of nipple and areola, right male breast
cancer		C50.022	Malignant neoplasm of nipple and areola, left male breast
cancer		C50.029	Malignant neoplasm of nipple and areola, unspecified male breast
cancer		C50.111	Malignant neoplasm of central portion of right female breast
cancer		C50.112	Malignant neoplasm of central portion of left female breast
cancer		C50.119	Malignant neoplasm of central portion of unspecified female breast
cancer		C50.121	Malignant neoplasm of central portion of right male breast
cancer		C50.122	Malignant neoplasm of central portion of left male breast
cancer		C50.129	Malignant neoplasm of central portion of unspecified male breast
cancer		C50.211	Malignant neoplasm of upper-inner quadrant of right female breast
cancer		C50.212	Malignant neoplasm of upper-inner quadrant of left female breast
cancer		C50.219	Malignant neoplasm of upper-inner quadrant of unspecified female breast
cancer		C50.221	Malignant neoplasm of upper-inner quadrant of right male breast
cancer		C50.222	Malignant neoplasm of upper-inner quadrant of left male breast
cancer		C50.229	Malignant neoplasm of upper-inner quadrant of unspecified male breast
cancer		C50.311	Malignant neoplasm of lower-inner quadrant of right female breast
cancer		C50.312	Malignant neoplasm of lower-inner quadrant of left female breast
cancer		C50.319	Malignant neoplasm of lower-inner quadrant of unspecified female breast
cancer		C50.321	Malignant neoplasm of lower-inner quadrant of right male breast
cancer		C50.322	Malignant neoplasm of lower-inner quadrant of left male breast
cancer		C50.329	Malignant neoplasm of lower-inner quadrant of unspecified male breast
cancer		C50.411	Malignant neoplasm of upper-outer quadrant of right female breast
cancer		C50.412	Malignant neoplasm of upper-outer quadrant of left female breast
cancer		C50.419	Malignant neoplasm of upper-outer quadrant of unspecified female breast
cancer		C50.421	Malignant neoplasm of upper-outer quadrant of right male breast
cancer		C50.422	Malignant neoplasm of upper-outer quadrant of left male breast
cancer		C50.429	Malignant neoplasm of upper-outer quadrant of unspecified male breast
cancer		C50.511	Malignant neoplasm of lower-outer quadrant of right female breast
cancer		C50.512	Malignant neoplasm of lower-outer quadrant of left female breast
cancer		C50.519	Malignant neoplasm of lower-outer quadrant of unspecified female breast
cancer		C50.521	Malignant neoplasm of lower-outer quadrant of right male breast
cancer		C50.522	Malignant neoplasm of lower-outer quadrant of left male breast
cancer		C50.529	Malignant neoplasm of lower-outer quadrant of unspecified male breast
cancer		C50.611	Malignant neoplasm of axillary tail of right female breast
cancer		C50.612	Malignant neoplasm of axillary tail of left female breast
cancer		C50.619	Malignant neoplasm of axillary tail of unspecified female breast
cancer		C50.621	Malignant neoplasm of axillary tail of right male breast
cancer		C50.622	Malignant neoplasm of axillary tail of left male breast
cancer		C50.629	Malignant neoplasm of axillary tail of unspecified male breast
cancer		C50.811	Malignant neoplasm of overlapping sites of right female breast
cancer		C50.812	Malignant neoplasm of overlapping sites of left female breast
cancer		C50.819	Malignant neoplasm of overlapping sites of unspecified female breast
cancer		C50.821	Malignant neoplasm of overlapping sites of right male breast
cancer		C50.822	Malignant neoplasm of overlapping sites of left male breast
cancer		C50.829	Malignant neoplasm of overlapping sites of unspecified male breast
cancer		C50.911	Malignant neoplasm of unspecified site of right female breast
cancer		C50.912	Malignant neoplasm of unspecified site of left female breast
cancer		C50.919	Malignant neoplasm of unspecified site of unspecified female breast
cancer		C50.921	Malignant neoplasm of unspecified site of right male breast
cancer		C50.922	Malignant neoplasm of unspecified site of left male breast
cancer		C50.929	Malignant neoplasm of unspecified site of unspecified male breast
cancer		C51.0	Malignant neoplasm of labium majus
cancer		C51.1	Malignant neoplasm of labium minus
cancer		C51.2	Malignant neoplasm of clitoris
cancer		C51.8	Malignant neoplasm of overlapping sites of vulva
cancer		C51.9	Malignant neoplasm of vulva, unspecified
cancer		C52.	Malignant neoplasm of vagina
cancer		C53.0	Malignant neoplasm of endocervix
cancer		C53.1	Malignant neoplasm of exocervix
cancer		C53.8	Malignant neoplasm of overlapping sites of cervix uteri
cancer		C53.9	Malignant neoplasm of cervix uteri, unspecified
cancer		C54.0	Malignant neoplasm of isthmus uteri
cancer		C54.1	Malignant neoplasm of endometrium
cancer		C54.2	Malignant neoplasm of myometrium
cancer		C54.3	Malignant neoplasm of fundus uteri
cancer		C54.8	Malignant neoplasm of overlapping sites of corpus uteri
cancer		C54.9	Malignant neoplasm of corpus uteri, unspecified
cancer		C55.	Malignant neoplasm of uterus, part unspecified
cancer		C56.1	Malignant neoplasm of right ovary
cancer		C56.2	Malignant neoplasm of left ovary
