idx	Organ_system	ICDCode	ICDCodeDescription
161	Malaise_and_Fatigue	R53.82	Chronic fatigue, unspecified
162	Malaise_and_Fatigue	R53.83	Other fatigue
163	cancer	188.9	MALIGNANT NEOPLASM OF BLADDER, PART UNSPECIFIED
164	cancer	C00.0	Malignant neoplasm of external upper lip
165	cancer	C00.1	Malignant neoplasm of external lower lip
166	cancer	C00.2	Malignant neoplasm of external lip, unspecified
167	cancer	C00.3	Malignant neoplasm of upper lip, inner aspect
168	cancer	C00.4	Malignant neoplasm of lower lip, inner aspect
169	cancer	C00.5	Malignant neoplasm of lip, unspecified, inner aspect
170	cancer	C00.6	Malignant neoplasm of commissure of lip, unspecified
171	cancer	C00.8	Malignant neoplasm of overlapping sites of lip
172	cancer	C00.9	Malignant neoplasm of lip, unspecified
173	cancer	C01.	Malignant neoplasm of base of tongue
174	cancer	C02.0	Malignant neoplasm of dorsal surface of tongue
175	cancer	C02.1	Malignant neoplasm of border of tongue
176	cancer	C02.2	Malignant neoplasm of ventral surface of tongue
177	cancer	C02.3	Malignant neoplasm of anterior two-thirds of tongue, part unspecified
178	cancer	C02.4	Malignant neoplasm of lingual tonsil
179	cancer	C02.8	Malignant neoplasm of overlapping sites of tongue
180	cancer	C02.9	Malignant neoplasm of tongue, unspecified
181	cancer	C03.0	Malignant neoplasm of upper gum
182	cancer	C03.1	Malignant neoplasm of lower gum
183	cancer	C03.9	Malignant neoplasm of gum, unspecified
184	cancer	C04.0	Malignant neoplasm of anterior floor of mouth
185	cancer	C04.1	Malignant neoplasm of lateral floor of mouth
186	cancer	C04.8	Malignant neoplasm of overlapping sites of floor of mouth
187	cancer	C04.9	Malignant neoplasm of floor of mouth, unspecified
188	cancer	C05.0	Malignant neoplasm of hard palate
189	cancer	C05.1	Malignant neoplasm of soft palate
190	cancer	C05.2	Malignant neoplasm of uvula
191	cancer	C05.8	Malignant neoplasm of overlapping sites of palate
192	cancer	C05.9	Malignant neoplasm of palate, unspecified
193	cancer	C06.0	Malignant neoplasm of cheek mucosa
194	cancer	C06.1	Malignant neoplasm of vestibule of mouth
195	cancer	C06.2	Malignant neoplasm of retromolar area
196	cancer	C06.80	Malignant neoplasm of overlapping sites of unspecified parts of mouth
197	cancer	C06.89	Malignant neoplasm of overlapping sites of other parts of mouth
198	cancer	C06.9	Malignant neoplasm of mouth, unspecified
199	cancer	C07.	Malignant neoplasm of parotid gland
200	cancer	C08.0	Malignant neoplasm of submandibular gland
201	cancer	C08.1	Malignant neoplasm of sublingual gland
202	cancer	C08.9	Malignant neoplasm of major salivary gland, unspecified
203	cancer	C09.0	Malignant neoplasm of tonsillar fossa
204	cancer	C09.1	Malignant neoplasm of tonsillar pillar (anterior) (posterior)
205	cancer	C09.8	Malignant neoplasm of overlapping sites of tonsil
206	cancer	C09.9	Malignant neoplasm of tonsil, unspecified
207	cancer	C10.0	Malignant neoplasm of vallecula
208	cancer	C10.1	Malignant neoplasm of anterior surface of epiglottis
209	cancer	C10.2	Malignant neoplasm of lateral wall of oropharynx
210	cancer	C10.3	Malignant neoplasm of posterior wall of oropharynx
211	cancer	C10.4	Malignant neoplasm of branchial cleft
212	cancer	C10.8	Malignant neoplasm of overlapping sites of oropharynx
213	cancer	C10.9	Malignant neoplasm of oropharynx, unspecified
214	cancer	C11.0	Malignant neoplasm of superior wall of nasopharynx
215	cancer	C11.1	Malignant neoplasm of posterior wall of nasopharynx
216	cancer	C11.2	Malignant neoplasm of lateral wall of nasopharynx
217	cancer	C11.3	Malignant neoplasm of anterior wall of nasopharynx
218	cancer	C11.8	Malignant neoplasm of overlapping sites of nasopharynx
219	cancer	C11.9	Malignant neoplasm of nasopharynx, unspecified
220	cancer	C12.	Malignant neoplasm of pyriform sinus
221	cancer	C13.0	Malignant neoplasm of postcricoid region
222	cancer	C13.1	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
223	cancer	C13.2	Malignant neoplasm of posterior wall of hypopharynx
224	cancer	C13.8	Malignant neoplasm of overlapping sites of hypopharynx
225	cancer	C13.9	Malignant neoplasm of hypopharynx, unspecified
226	cancer	C14.0	Malignant neoplasm of pharynx, unspecified
227	cancer	C14.2	Malignant neoplasm of Waldeyer's ring
228	cancer	C14.8	Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx
229	cancer	C15.3	Malignant neoplasm of upper third of esophagus
230	cancer	C15.4	Malignant neoplasm of middle third of esophagus
231	cancer	C15.5	Malignant neoplasm of lower third of esophagus
232	cancer	C15.8	Malignant neoplasm of overlapping sites of esophagus
233	cancer	C15.9	Malignant neoplasm of esophagus, unspecified
234	cancer	C16.0	Malignant neoplasm of cardia
235	cancer	C16.1	Malignant neoplasm of fundus of stomach
236	cancer	C16.2	Malignant neoplasm of body of stomach
237	cancer	C16.3	Malignant neoplasm of pyloric antrum
238	cancer	C16.4	Malignant neoplasm of pylorus
239	cancer	C16.5	Malignant neoplasm of lesser curvature of stomach, unspecified
240	cancer	C16.6	Malignant neoplasm of greater curvature of stomach, unspecified
241	cancer	C16.8	Malignant neoplasm of overlapping sites of stomach
242	cancer	C16.9	Malignant neoplasm of stomach, unspecified
243	cancer	C17.0	Malignant neoplasm of duodenum
244	cancer	C17.1	Malignant neoplasm of jejunum
245	cancer	C17.2	Malignant neoplasm of ileum
246	cancer	C17.3	Meckel's diverticulum, malignant
247	cancer	C17.8	Malignant neoplasm of overlapping sites of small intestine
248	cancer	C17.9	Malignant neoplasm of small intestine, unspecified
249	cancer	C18.0	Malignant neoplasm of cecum
250	cancer	C18.1	Malignant neoplasm of appendix
251	cancer	C18.2	Malignant neoplasm of ascending colon
252	cancer	C18.3	Malignant neoplasm of hepatic flexure
253	cancer	C18.4	Malignant neoplasm of transverse colon
254	cancer	C18.5	Malignant neoplasm of splenic flexure
255	cancer	C18.6	Malignant neoplasm of descending colon
256	cancer	C18.7	Malignant neoplasm of sigmoid colon
257	cancer	C18.8	Malignant neoplasm of overlapping sites of colon
258	cancer	C18.9	Malignant neoplasm of colon, unspecified
259	cancer	C19.	Malignant neoplasm of rectosigmoid junction
260	cancer	C20.	Malignant neoplasm of rectum
261	cancer	C21.0	Malignant neoplasm of anus, unspecified
262	cancer	C21.1	Malignant neoplasm of anal canal
263	cancer	C21.2	Malignant neoplasm of cloacogenic zone
264	cancer	C21.8	Malignant neoplasm of overlapping sites of rectum, anus and anal canal
265	cancer	C22.0	Liver cell carcinoma
266	cancer	C22.1	Intrahepatic bile duct carcinoma
267	cancer	C22.2	Hepatoblastoma
268	cancer	C22.3	Angiosarcoma of liver
269	cancer	C22.4	Other sarcomas of liver
270	cancer	C22.7	Other specified carcinomas of liver
271	cancer	C22.8	Malignant neoplasm of liver, primary, unspecified as to type
272	cancer	C22.9	Malignant neoplasm of liver, not specified as primary or secondary
273	cancer	C23.	Malignant neoplasm of gallbladder
274	cancer	C24.0	Malignant neoplasm of extrahepatic bile duct
275	cancer	C24.1	Malignant neoplasm of ampulla of Vater
276	cancer	C24.8	Malignant neoplasm of overlapping sites of biliary tract
277	cancer	C24.9	Malignant neoplasm of biliary tract, unspecified
278	cancer	C25.0	Malignant neoplasm of head of pancreas
279	cancer	C25.1	Malignant neoplasm of body of pancreas
280	cancer	C25.2	Malignant neoplasm of tail of pancreas
281	cancer	C25.3	Malignant neoplasm of pancreatic duct
282	cancer	C25.4	Malignant neoplasm of endocrine pancreas
283	cancer	C25.7	Malignant neoplasm of other parts of pancreas
284	cancer	C25.8	Malignant neoplasm of overlapping sites of pancreas
285	cancer	C25.9	Malignant neoplasm of pancreas, unspecified
286	cancer	C26.0	Malignant neoplasm of intestinal tract, part unspecified
287	cancer	C26.1	Malignant neoplasm of spleen
288	cancer	C26.9	Malignant neoplasm of ill-defined sites within the digestive system
289	cancer	C30.0	Malignant neoplasm of nasal cavity
290	cancer	C30.1	Malignant neoplasm of middle ear
291	cancer	C31.0	Malignant neoplasm of maxillary sinus
292	cancer	C31.1	Malignant neoplasm of ethmoidal sinus
293	cancer	C31.2	Malignant neoplasm of frontal sinus
294	cancer	C31.3	Malignant neoplasm of sphenoid sinus
295	cancer	C31.8	Malignant neoplasm of overlapping sites of accessory sinuses
296	cancer	C31.9	Malignant neoplasm of accessory sinus, unspecified
297	cancer	C32.0	Malignant neoplasm of glottis
298	cancer	C32.1	Malignant neoplasm of supraglottis
299	cancer	C32.2	Malignant neoplasm of subglottis
300	cancer	C32.3	Malignant neoplasm of laryngeal cartilage
301	cancer	C32.8	Malignant neoplasm of overlapping sites of larynx
302	cancer	C32.9	Malignant neoplasm of larynx, unspecified
303	cancer	C33.	Malignant neoplasm of trachea
304	cancer	C34.00	Malignant neoplasm of unspecified main bronchus
305	cancer	C34.01	Malignant neoplasm of right main bronchus
306	cancer	C34.02	Malignant neoplasm of left main bronchus
307	cancer	C34.10	Malignant neoplasm of upper lobe, unspecified bronchus or lung
308	cancer	C34.11	Malignant neoplasm of upper lobe, right bronchus or lung
309	cancer	C34.12	Malignant neoplasm of upper lobe, left bronchus or lung
310	cancer	C34.2	Malignant neoplasm of middle lobe, bronchus or lung
311	cancer	C34.30	Malignant neoplasm of lower lobe, unspecified bronchus or lung
312	cancer	C34.31	Malignant neoplasm of lower lobe, right bronchus or lung
313	cancer	C34.32	Malignant neoplasm of lower lobe, left bronchus or lung
314	cancer	C34.80	Malignant neoplasm of overlapping sites of unspecified bronchus and lung
315	cancer	C34.81	Malignant neoplasm of overlapping sites of right bronchus and lung
316	cancer	C34.82	Malignant neoplasm of overlapping sites of left bronchus and lung
317	cancer	C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung
318	cancer	C34.91	Malignant neoplasm of unspecified part of right bronchus or lung
319	cancer	C34.92	Malignant neoplasm of unspecified part of left bronchus or lung
320	cancer	C37.	Malignant neoplasm of thymus
321	cancer	C38.0	Malignant neoplasm of heart
322	cancer	C38.1	Malignant neoplasm of anterior mediastinum
323	cancer	C38.2	Malignant neoplasm of posterior mediastinum
324	cancer	C38.3	Malignant neoplasm of mediastinum, part unspecified
325	cancer	C38.4	Malignant neoplasm of pleura
326	cancer	C38.8	Malignant neoplasm of overlapping sites of heart, mediastinum and pleura
327	cancer	C39.0	Malignant neoplasm of upper respiratory tract, part unspecified
328	cancer	C39.9	Malignant neoplasm of lower respiratory tract, part unspecified
329	cancer	C40.00	Malignant neoplasm of scapula and long bones of unspecified upper limb
330	cancer	C40.01	Malignant neoplasm of scapula and long bones of right upper limb
331	cancer	C40.02	Malignant neoplasm of scapula and long bones of left upper limb
332	cancer	C40.10	Malignant neoplasm of short bones of unspecified upper limb
333	cancer	C40.11	Malignant neoplasm of short bones of right upper limb
334	cancer	C40.12	Malignant neoplasm of short bones of left upper limb
335	cancer	C40.20	Malignant neoplasm of long bones of unspecified lower limb
336	cancer	C40.21	Malignant neoplasm of long bones of right lower limb
337	cancer	C40.22	Malignant neoplasm of long bones of left lower limb
338	cancer	C40.30	Malignant neoplasm of short bones of unspecified lower limb
339	cancer	C40.31	Malignant neoplasm of short bones of right lower limb
340	cancer	C40.32	Malignant neoplasm of short bones of left lower limb
341	cancer	C40.80	Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
342	cancer	C40.81	Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
343	cancer	C40.82	Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
344	cancer	C40.90	Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
345	cancer	C40.91	Malignant neoplasm of unspecified bones and articular cartilage of right limb
346	cancer	C40.92	Malignant neoplasm of unspecified bones and articular cartilage of left limb
347	cancer	C41.0	Malignant neoplasm of bones of skull and face
348	cancer	C41.1	Malignant neoplasm of mandible
349	cancer	C41.2	Malignant neoplasm of vertebral column
350	cancer	C41.3	Malignant neoplasm of ribs, sternum and clavicle
351	cancer	C41.4	Malignant neoplasm of pelvic bones, sacrum and coccyx
352	cancer	C41.9	Malignant neoplasm of bone and articular cartilage, unspecified
353	cancer	C45.0	Mesothelioma of pleura
354	cancer	C45.1	Mesothelioma of peritoneum
355	cancer	C45.2	Mesothelioma of pericardium
356	cancer	C45.7	Mesothelioma of other sites
357	cancer	C45.9	Mesothelioma, unspecified
358	cancer	C46.0	Kaposi's sarcoma of skin
359	cancer	C46.1	Kaposi's sarcoma of soft tissue
360	cancer	C46.2	Kaposi's sarcoma of palate
361	cancer	C46.3	Kaposi's sarcoma of lymph nodes
362	cancer	C46.4	Kaposi's sarcoma of gastrointestinal sites
363	cancer	C46.50	Kaposi's sarcoma of unspecified lung
364	cancer	C46.51	Kaposi's sarcoma of right lung
365	cancer	C46.52	Kaposi's sarcoma of left lung
366	cancer	C46.7	Kaposi's sarcoma of other sites
367	cancer	C46.9	Kaposi's sarcoma, unspecified
368	cancer	C47.0	Malignant neoplasm of peripheral nerves of head, face and neck
369	cancer	C47.10	Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
370	cancer	C47.11	Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
371	cancer	C47.12	Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
372	cancer	C47.20	Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
373	cancer	C47.21	Malignant neoplasm of peripheral nerves of right lower limb, including hip
374	cancer	C47.22	Malignant neoplasm of peripheral nerves of left lower limb, including hip
375	cancer	C47.3	Malignant neoplasm of peripheral nerves of thorax
376	cancer	C47.4	Malignant neoplasm of peripheral nerves of abdomen
377	cancer	C47.5	Malignant neoplasm of peripheral nerves of pelvis
378	cancer	C47.6	Malignant neoplasm of peripheral nerves of trunk, unspecified
379	cancer	C47.8	Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
380	cancer	C47.9	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
381	cancer	C48.0	Malignant neoplasm of retroperitoneum
382	cancer	C48.1	Malignant neoplasm of specified parts of peritoneum
383	cancer	C48.2	Malignant neoplasm of peritoneum, unspecified
384	cancer	C48.8	Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
385	cancer	C49.0	Malignant neoplasm of connective and soft tissue of head, face and neck
386	cancer	C49.10	Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
387	cancer	C49.11	Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
388	cancer	C49.12	Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
389	cancer	C49.20	Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
390	cancer	C49.21	Malignant neoplasm of connective and soft tissue of right lower limb, including hip
391	cancer	C49.22	Malignant neoplasm of connective and soft tissue of left lower limb, including hip
392	cancer	C49.3	Malignant neoplasm of connective and soft tissue of thorax
393	cancer	C49.4	Malignant neoplasm of connective and soft tissue of abdomen
394	cancer	C49.5	Malignant neoplasm of connective and soft tissue of pelvis
395	cancer	C49.6	Malignant neoplasm of connective and soft tissue of trunk, unspecified
396	cancer	C49.8	Malignant neoplasm of overlapping sites of connective and soft tissue
397	cancer	C49.9	Malignant neoplasm of connective and soft tissue, unspecified
398	cancer	C49.A0	Gastrointestinal stromal tumor, unspecified site
399	cancer	C49.A1	Gastrointestinal stromal tumor of esophagus
400	cancer	C49.A2	Gastrointestinal stromal tumor of stomach
401	cancer	C49.A3	Gastrointestinal stromal tumor of small intestine
402	cancer	C49.A4	Gastrointestinal stromal tumor of large intestine
403	cancer	C49.A5	Gastrointestinal stromal tumor of rectum
404	cancer	C49.A9	Gastrointestinal stromal tumor of other sites
405	cancer	C50.011	Malignant neoplasm of nipple and areola, right female breast
406	cancer	C50.012	Malignant neoplasm of nipple and areola, left female breast
407	cancer	C50.019	Malignant neoplasm of nipple and areola, unspecified female breast
408	cancer	C50.021	Malignant neoplasm of nipple and areola, right male breast
409	cancer	C50.022	Malignant neoplasm of nipple and areola, left male breast
410	cancer	C50.029	Malignant neoplasm of nipple and areola, unspecified male breast
411	cancer	C50.111	Malignant neoplasm of central portion of right female breast
412	cancer	C50.112	Malignant neoplasm of central portion of left female breast
413	cancer	C50.119	Malignant neoplasm of central portion of unspecified female breast
414	cancer	C50.121	Malignant neoplasm of central portion of right male breast
415	cancer	C50.122	Malignant neoplasm of central portion of left male breast
416	cancer	C50.129	Malignant neoplasm of central portion of unspecified male breast
417	cancer	C50.211	Malignant neoplasm of upper-inner quadrant of right female breast
418	cancer	C50.212	Malignant neoplasm of upper-inner quadrant of left female breast
419	cancer	C50.219	Malignant neoplasm of upper-inner quadrant of unspecified female breast
420	cancer	C50.221	Malignant neoplasm of upper-inner quadrant of right male breast
421	cancer	C50.222	Malignant neoplasm of upper-inner quadrant of left male breast
422	cancer	C50.229	Malignant neoplasm of upper-inner quadrant of unspecified male breast
423	cancer	C50.311	Malignant neoplasm of lower-inner quadrant of right female breast
424	cancer	C50.312	Malignant neoplasm of lower-inner quadrant of left female breast
425	cancer	C50.319	Malignant neoplasm of lower-inner quadrant of unspecified female breast
426	cancer	C50.321	Malignant neoplasm of lower-inner quadrant of right male breast
427	cancer	C50.322	Malignant neoplasm of lower-inner quadrant of left male breast
428	cancer	C50.329	Malignant neoplasm of lower-inner quadrant of unspecified male breast
429	cancer	C50.411	Malignant neoplasm of upper-outer quadrant of right female breast
430	cancer	C50.412	Malignant neoplasm of upper-outer quadrant of left female breast
431	cancer	C50.419	Malignant neoplasm of upper-outer quadrant of unspecified female breast
432	cancer	C50.421	Malignant neoplasm of upper-outer quadrant of right male breast
433	cancer	C50.422	Malignant neoplasm of upper-outer quadrant of left male breast
434	cancer	C50.429	Malignant neoplasm of upper-outer quadrant of unspecified male breast
435	cancer	C50.511	Malignant neoplasm of lower-outer quadrant of right female breast
436	cancer	C50.512	Malignant neoplasm of lower-outer quadrant of left female breast
437	cancer	C50.519	Malignant neoplasm of lower-outer quadrant of unspecified female breast
438	cancer	C50.521	Malignant neoplasm of lower-outer quadrant of right male breast
439	cancer	C50.522	Malignant neoplasm of lower-outer quadrant of left male breast
440	cancer	C50.529	Malignant neoplasm of lower-outer quadrant of unspecified male breast
441	cancer	C50.611	Malignant neoplasm of axillary tail of right female breast
442	cancer	C50.612	Malignant neoplasm of axillary tail of left female breast
443	cancer	C50.619	Malignant neoplasm of axillary tail of unspecified female breast
444	cancer	C50.621	Malignant neoplasm of axillary tail of right male breast
445	cancer	C50.622	Malignant neoplasm of axillary tail of left male breast
446	cancer	C50.629	Malignant neoplasm of axillary tail of unspecified male breast
447	cancer	C50.811	Malignant neoplasm of overlapping sites of right female breast
448	cancer	C50.812	Malignant neoplasm of overlapping sites of left female breast
449	cancer	C50.819	Malignant neoplasm of overlapping sites of unspecified female breast
450	cancer	C50.821	Malignant neoplasm of overlapping sites of right male breast
451	cancer	C50.822	Malignant neoplasm of overlapping sites of left male breast
452	cancer	C50.829	Malignant neoplasm of overlapping sites of unspecified male breast
453	cancer	C50.911	Malignant neoplasm of unspecified site of right female breast
454	cancer	C50.912	Malignant neoplasm of unspecified site of left female breast
455	cancer	C50.919	Malignant neoplasm of unspecified site of unspecified female breast
